alpha,accuracy,precision_macro,recall_macro,macro_f1,confusion_matrix,safe_to_phone,phone_to_safe,predictions_different_from_average,predictions_different_from_legacy_adaptive,safe_recall,phone_recall
1,0.89091,0.86565,0.73889,0.78059,"[[20, 20], [4, 176]]",20,4,0,0,0.5,0.97777778
2,0.89091,0.86565,0.73889,0.78059,"[[20, 20], [4, 176]]",20,4,0,0,0.5,0.97777778
3,0.89091,0.86565,0.73889,0.78059,"[[20, 20], [4, 176]]",20,4,0,0,0.5,0.97777778
5,0.89091,0.86565,0.73889,0.78059,"[[20, 20], [4, 176]]",20,4,0,0,0.5,0.97777778
10,0.89091,0.86565,0.73889,0.78059,"[[20, 20], [4, 176]]",20,4,0,0,0.5,0.97777778
