split,method,threshold,accuracy,precision_macro,recall_macro,macro_f1,safe_to_phone,phone_to_safe,confusion_matrix
validation,average_fusion,0.01,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.02,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.03,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.04,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.05,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.06,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.07,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.08,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.09,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.1,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.11,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.12,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.13,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.14,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.15,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,average_fusion,0.16,0.85333,0.92634,0.51471,0.48881,33,0,"[[1, 33], [0, 191]]"
validation,average_fusion,0.17,0.85778,0.92825,0.52941,0.51691,32,0,"[[2, 32], [0, 191]]"
validation,average_fusion,0.18,0.86222,0.93018,0.54412,0.54355,31,0,"[[3, 31], [0, 191]]"
validation,average_fusion,0.19,0.85778,0.80486,0.5415,0.54011,31,1,"[[3, 31], [1, 190]]"
validation,average_fusion,0.2,0.86222,0.83182,0.55621,0.56485,30,1,"[[4, 30], [1, 190]]"
validation,average_fusion,0.21,0.87111,0.82639,0.59771,0.62716,27,2,"[[7, 27], [2, 189]]"
validation,average_fusion,0.22,0.88,0.85068,0.62712,0.66667,25,2,"[[9, 25], [2, 189]]"
validation,average_fusion,0.23,0.88444,0.86033,0.64182,0.68521,24,2,"[[10, 24], [2, 189]]"
validation,average_fusion,0.24,0.89333,0.87644,0.67123,0.72015,22,2,"[[12, 22], [2, 189]]"
validation,average_fusion,0.25,0.89333,0.85601,0.68332,0.73,21,3,"[[13, 21], [3, 188]]"
validation,average_fusion,0.26,0.89778,0.86369,0.69803,0.74569,20,3,"[[14, 20], [3, 188]]"
validation,average_fusion,0.27,0.89333,0.84058,0.69541,0.73908,20,4,"[[14, 20], [4, 187]]"
validation,average_fusion,0.28,0.88889,0.81988,0.69279,0.73266,20,5,"[[14, 20], [5, 186]]"
validation,average_fusion,0.29,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.3,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.31,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.32,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.33,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.34,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,average_fusion,0.35,0.88889,0.81057,0.70488,0.74108,19,6,"[[15, 19], [6, 185]]"
validation,average_fusion,0.36,0.88889,0.81057,0.70488,0.74108,19,6,"[[15, 19], [6, 185]]"
validation,average_fusion,0.37,0.88889,0.81057,0.70488,0.74108,19,6,"[[15, 19], [6, 185]]"
validation,average_fusion,0.38,0.88889,0.81057,0.70488,0.74108,19,6,"[[15, 19], [6, 185]]"
validation,average_fusion,0.39,0.88444,0.79411,0.70226,0.73486,19,7,"[[15, 19], [7, 184]]"
validation,average_fusion,0.4,0.87556,0.76524,0.69703,0.72291,19,9,"[[15, 19], [9, 182]]"
validation,average_fusion,0.41,0.86667,0.74072,0.69179,0.71154,19,11,"[[15, 19], [11, 180]]"
validation,average_fusion,0.42,0.87556,0.76042,0.7212,0.73811,17,11,"[[17, 17], [11, 180]]"
validation,average_fusion,0.43,0.88,0.76779,0.748,0.75724,15,12,"[[19, 15], [12, 179]]"
validation,average_fusion,0.44,0.88,0.76779,0.748,0.75724,15,12,"[[19, 15], [12, 179]]"
validation,average_fusion,0.45,0.87556,0.75801,0.74538,0.75142,15,13,"[[19, 15], [13, 178]]"
validation,average_fusion,0.46,0.87556,0.75801,0.74538,0.75142,15,13,"[[19, 15], [13, 178]]"
validation,average_fusion,0.47,0.87111,0.74887,0.75485,0.7518,14,15,"[[20, 14], [15, 176]]"
validation,average_fusion,0.48,0.87111,0.74887,0.75485,0.7518,14,15,"[[20, 14], [15, 176]]"
validation,average_fusion,0.49,0.86222,0.73304,0.74962,0.74079,14,17,"[[20, 14], [17, 174]]"
validation,average_fusion,0.5,0.86667,0.74156,0.76432,0.75198,13,17,"[[21, 13], [17, 174]]"
validation,average_fusion,0.51,0.87111,0.74979,0.77903,0.76291,12,17,"[[22, 12], [17, 174]]"
validation,average_fusion,0.52,0.87111,0.74979,0.77903,0.76291,12,17,"[[22, 12], [17, 174]]"
validation,average_fusion,0.53,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,average_fusion,0.54,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,average_fusion,0.55,0.85778,0.72912,0.77117,0.74669,12,20,"[[22, 12], [20, 171]]"
validation,average_fusion,0.56,0.85778,0.72912,0.77117,0.74669,12,20,"[[22, 12], [20, 171]]"
validation,average_fusion,0.57,0.85333,0.725,0.78064,0.74666,11,22,"[[23, 11], [22, 169]]"
validation,average_fusion,0.58,0.84,0.70851,0.77279,0.73157,11,25,"[[23, 11], [25, 166]]"
validation,average_fusion,0.59,0.84,0.70851,0.77279,0.73157,11,25,"[[23, 11], [25, 166]]"
validation,average_fusion,0.6,0.83111,0.69857,0.76755,0.7219,11,27,"[[23, 11], [27, 164]]"
validation,average_fusion,0.61,0.82667,0.69735,0.77702,0.72214,10,29,"[[24, 10], [29, 162]]"
validation,average_fusion,0.62,0.82667,0.7008,0.78911,0.72688,9,30,"[[25, 9], [30, 161]]"
validation,average_fusion,0.63,0.81778,0.69251,0.78388,0.71762,9,32,"[[25, 9], [32, 159]]"
validation,average_fusion,0.64,0.80889,0.68476,0.77864,0.70859,9,34,"[[25, 9], [34, 157]]"
validation,average_fusion,0.65,0.79111,0.67063,0.76817,0.69116,9,38,"[[25, 9], [38, 153]]"
validation,average_fusion,0.66,0.76889,0.65516,0.75508,0.67039,9,43,"[[25, 9], [43, 148]]"
validation,average_fusion,0.67,0.76,0.65441,0.76193,0.66679,8,46,"[[26, 8], [46, 145]]"
validation,average_fusion,0.68,0.76444,0.66667,0.78873,0.67917,6,47,"[[28, 6], [47, 144]]"
validation,average_fusion,0.69,0.74667,0.65667,0.77826,0.66322,6,51,"[[28, 6], [51, 140]]"
validation,average_fusion,0.7,0.73778,0.65201,0.77302,0.65542,6,53,"[[28, 6], [53, 138]]"
validation,average_fusion,0.71,0.73333,0.64975,0.7704,0.65156,6,54,"[[28, 6], [54, 137]]"
validation,average_fusion,0.72,0.71556,0.64121,0.75993,0.63636,6,58,"[[28, 6], [58, 133]]"
validation,average_fusion,0.73,0.70667,0.64259,0.76678,0.63264,5,61,"[[29, 5], [61, 130]]"
validation,average_fusion,0.74,0.69778,0.63881,0.76155,0.62522,5,63,"[[29, 5], [63, 128]]"
validation,average_fusion,0.75,0.68,0.63731,0.76317,0.61407,4,68,"[[30, 4], [68, 123]]"
validation,average_fusion,0.76,0.66667,0.63239,0.75531,0.60317,4,71,"[[30, 4], [71, 120]]"
validation,average_fusion,0.77,0.65778,0.62924,0.75008,0.59597,4,73,"[[30, 4], [73, 118]]"
validation,average_fusion,0.78,0.64444,0.6247,0.74222,0.58525,4,76,"[[30, 4], [76, 115]]"
validation,average_fusion,0.79,0.63556,0.62179,0.73699,0.57815,4,78,"[[30, 4], [78, 113]]"
validation,average_fusion,0.8,0.62667,0.61897,0.73175,0.57108,4,80,"[[30, 4], [80, 111]]"
validation,average_fusion,0.81,0.60889,0.62625,0.74546,0.56288,2,86,"[[32, 2], [86, 105]]"
validation,average_fusion,0.82,0.58667,0.62028,0.73237,0.54512,2,91,"[[32, 2], [91, 100]]"
validation,average_fusion,0.83,0.56889,0.6227,0.73399,0.53346,1,96,"[[33, 1], [96, 95]]"
validation,average_fusion,0.84,0.54667,0.61764,0.7209,0.51558,1,101,"[[33, 1], [101, 90]]"
validation,average_fusion,0.85,0.51556,0.61107,0.70257,0.49039,1,108,"[[33, 1], [108, 83]]"
validation,average_fusion,0.86,0.47556,0.60333,0.67901,0.45754,1,117,"[[33, 1], [117, 74]]"
validation,average_fusion,0.87,0.44889,0.59852,0.6633,0.43522,1,123,"[[33, 1], [123, 68]]"
validation,average_fusion,0.88,0.38222,0.58723,0.62404,0.3773,1,138,"[[33, 1], [138, 53]]"
validation,average_fusion,0.89,0.32889,0.57826,0.59262,0.32804,1,150,"[[33, 1], [150, 41]]"
validation,average_fusion,0.9,0.29333,0.57168,0.57168,0.29333,1,158,"[[33, 1], [158, 33]]"
validation,average_fusion,0.91,0.24889,0.56126,0.5455,0.2474,1,168,"[[33, 1], [168, 23]]"
validation,average_fusion,0.92,0.22222,0.55193,0.5298,0.21827,1,174,"[[33, 1], [174, 17]]"
validation,average_fusion,0.93,0.17333,0.50426,0.501,0.16126,1,185,"[[33, 1], [185, 6]]"
validation,average_fusion,0.94,0.17333,0.57727,0.51309,0.15937,0,186,"[[34, 0], [186, 5]]"
validation,average_fusion,0.95,0.16444,0.57658,0.50785,0.14828,0,188,"[[34, 0], [188, 3]]"
validation,average_fusion,0.96,0.16,0.57623,0.50524,0.14266,0,189,"[[34, 0], [189, 2]]"
validation,average_fusion,0.97,0.15111,0.07556,0.5,0.13127,0,191,"[[34, 0], [191, 0]]"
validation,average_fusion,0.98,0.15111,0.07556,0.5,0.13127,0,191,"[[34, 0], [191, 0]]"
validation,average_fusion,0.99,0.15111,0.07556,0.5,0.13127,0,191,"[[34, 0], [191, 0]]"
test,average_fusion,0.01,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.02,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.03,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.04,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.05,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.06,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.07,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.08,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.09,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.1,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.11,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.12,0.81818,0.40909,0.5,0.45,40,0,"[[0, 40], [0, 180]]"
test,average_fusion,0.13,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,average_fusion,0.14,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,average_fusion,0.15,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,average_fusion,0.16,0.82273,0.91096,0.5125,0.47552,39,0,"[[1, 39], [0, 180]]"
test,average_fusion,0.17,0.82727,0.91284,0.525,0.49988,38,0,"[[2, 38], [0, 180]]"
test,average_fusion,0.18,0.82727,0.91284,0.525,0.49988,38,0,"[[2, 38], [0, 180]]"
test,average_fusion,0.19,0.82727,0.91284,0.525,0.49988,38,0,"[[2, 38], [0, 180]]"
test,average_fusion,0.2,0.82727,0.91284,0.525,0.49988,38,0,"[[2, 38], [0, 180]]"
test,average_fusion,0.21,0.84091,0.9186,0.5625,0.56681,35,0,"[[5, 35], [0, 180]]"
test,average_fusion,0.22,0.84545,0.92056,0.575,0.58729,34,0,"[[6, 34], [0, 180]]"
test,average_fusion,0.23,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,average_fusion,0.24,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,average_fusion,0.25,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,average_fusion,0.26,0.85909,0.92654,0.6125,0.64403,31,0,"[[9, 31], [0, 180]]"
test,average_fusion,0.27,0.85909,0.88278,0.62222,0.65623,30,1,"[[10, 30], [1, 179]]"
test,average_fusion,0.28,0.85909,0.85303,0.63194,0.6675,29,2,"[[11, 29], [2, 178]]"
test,average_fusion,0.29,0.86818,0.86748,0.65694,0.6987,27,2,"[[13, 27], [2, 178]]"
test,average_fusion,0.3,0.87727,0.8796,0.68194,0.72791,25,2,"[[15, 25], [2, 178]]"
test,average_fusion,0.31,0.88636,0.89015,0.70694,0.75533,23,2,"[[17, 23], [2, 178]]"
test,average_fusion,0.32,0.88636,0.89015,0.70694,0.75533,23,2,"[[17, 23], [2, 178]]"
test,average_fusion,0.33,0.89091,0.895,0.71944,0.76842,22,2,"[[18, 22], [2, 178]]"
test,average_fusion,0.34,0.89545,0.89962,0.73194,0.78113,21,2,"[[19, 21], [2, 178]]"
test,average_fusion,0.35,0.89545,0.88402,0.74167,0.78696,20,3,"[[20, 20], [3, 177]]"
test,average_fusion,0.36,0.89091,0.85488,0.74861,0.7861,19,5,"[[21, 19], [5, 175]]"
test,average_fusion,0.37,0.89091,0.85488,0.74861,0.7861,19,5,"[[21, 19], [5, 175]]"
test,average_fusion,0.38,0.88182,0.82552,0.74306,0.77388,19,7,"[[21, 19], [7, 173]]"
test,average_fusion,0.39,0.89091,0.8386,0.76806,0.79614,17,7,"[[23, 17], [7, 173]]"
test,average_fusion,0.4,0.89091,0.8386,0.76806,0.79614,17,7,"[[23, 17], [7, 173]]"
test,average_fusion,0.41,0.89091,0.8386,0.76806,0.79614,17,7,"[[23, 17], [7, 173]]"
test,average_fusion,0.42,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,average_fusion,0.43,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,average_fusion,0.44,0.88636,0.82599,0.76528,0.79007,17,8,"[[23, 17], [8, 172]]"
test,average_fusion,0.45,0.88182,0.81416,0.7625,0.78412,17,9,"[[23, 17], [9, 171]]"
test,average_fusion,0.46,0.89091,0.82732,0.7875,0.80505,15,9,"[[25, 15], [9, 171]]"
test,average_fusion,0.47,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,average_fusion,0.48,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,average_fusion,0.49,0.89545,0.83359,0.8,0.81516,14,9,"[[26, 14], [9, 171]]"
test,average_fusion,0.5,0.9,0.83967,0.8125,0.82504,13,9,"[[27, 13], [9, 171]]"
test,average_fusion,0.51,0.89545,0.82935,0.80972,0.81897,13,10,"[[27, 13], [10, 170]]"
test,average_fusion,0.52,0.89091,0.81955,0.80694,0.813,13,11,"[[27, 13], [11, 169]]"
test,average_fusion,0.53,0.88182,0.80139,0.80139,0.80139,13,13,"[[27, 13], [13, 167]]"
test,average_fusion,0.54,0.87727,0.79296,0.79861,0.79573,13,14,"[[27, 13], [14, 166]]"
test,average_fusion,0.55,0.86818,0.77723,0.79306,0.78468,13,16,"[[27, 13], [16, 164]]"
test,average_fusion,0.56,0.86364,0.76989,0.79028,0.77929,13,17,"[[27, 13], [17, 163]]"
test,average_fusion,0.57,0.85909,0.76286,0.7875,0.77399,13,18,"[[27, 13], [18, 162]]"
test,average_fusion,0.58,0.84091,0.7375,0.77639,0.75351,13,22,"[[27, 13], [22, 158]]"
test,average_fusion,0.59,0.83182,0.72624,0.77083,0.74369,13,24,"[[27, 13], [24, 156]]"
test,average_fusion,0.6,0.81818,0.71084,0.7625,0.72943,13,27,"[[27, 13], [27, 153]]"
test,average_fusion,0.61,0.80909,0.70144,0.75694,0.7202,13,29,"[[27, 13], [29, 151]]"
test,average_fusion,0.62,0.79091,0.68437,0.74583,0.70235,13,33,"[[27, 13], [33, 147]]"
test,average_fusion,0.63,0.78182,0.68029,0.75,0.6978,12,36,"[[28, 12], [36, 144]]"
test,average_fusion,0.64,0.77727,0.68047,0.75694,0.69745,11,38,"[[29, 11], [38, 142]]"
test,average_fusion,0.65,0.77273,0.67705,0.75417,0.69322,11,39,"[[29, 11], [39, 141]]"
test,average_fusion,0.66,0.76818,0.67372,0.75139,0.68902,11,40,"[[29, 11], [40, 140]]"
test,average_fusion,0.67,0.75909,0.67147,0.75556,0.68445,10,43,"[[30, 10], [43, 137]]"
test,average_fusion,0.68,0.72273,0.64921,0.73333,0.65232,10,51,"[[30, 10], [51, 129]]"
test,average_fusion,0.69,0.72727,0.66106,0.75556,0.66313,8,52,"[[32, 8], [52, 128]]"
test,average_fusion,0.7,0.71818,0.66098,0.75972,0.65845,7,55,"[[33, 7], [55, 125]]"
test,average_fusion,0.71,0.70455,0.65419,0.75139,0.64673,7,58,"[[33, 7], [58, 122]]"
test,average_fusion,0.72,0.68182,0.64888,0.74722,0.63048,6,64,"[[34, 6], [64, 116]]"
test,average_fusion,0.73,0.67727,0.65226,0.75417,0.6295,5,66,"[[35, 5], [66, 114]]"
test,average_fusion,0.74,0.65909,0.64493,0.74306,0.61426,5,70,"[[35, 5], [70, 110]]"
test,average_fusion,0.75,0.64545,0.63972,0.73472,0.60292,5,73,"[[35, 5], [73, 107]]"
test,average_fusion,0.76,0.64545,0.64545,0.74444,0.60552,4,74,"[[36, 4], [74, 106]]"
test,average_fusion,0.77,0.64091,0.6497,0.75139,0.6042,3,76,"[[37, 3], [76, 104]]"
test,average_fusion,0.78,0.62273,0.64356,0.74028,0.58903,3,80,"[[37, 3], [80, 100]]"
test,average_fusion,0.79,0.60909,0.63917,0.73194,0.57768,3,83,"[[37, 3], [83, 97]]"
test,average_fusion,0.8,0.58182,0.63087,0.71528,0.55501,3,89,"[[37, 3], [89, 91]]"
test,average_fusion,0.81,0.57727,0.62954,0.7125,0.55123,3,90,"[[37, 3], [90, 90]]"
test,average_fusion,0.82,0.55455,0.62311,0.69861,0.53228,3,95,"[[37, 3], [95, 85]]"
test,average_fusion,0.83,0.53636,0.61817,0.6875,0.51705,3,99,"[[37, 3], [99, 81]]"
test,average_fusion,0.84,0.51818,0.61339,0.67639,0.50171,3,103,"[[37, 3], [103, 77]]"
test,average_fusion,0.85,0.50455,0.6258,0.6875,0.49314,1,108,"[[39, 1], [108, 72]]"
test,average_fusion,0.86,0.48182,0.62094,0.67361,0.47329,1,113,"[[39, 1], [113, 67]]"
test,average_fusion,0.87,0.46364,0.62658,0.67222,0.45822,0,118,"[[40, 0], [118, 62]]"
test,average_fusion,0.88,0.43636,0.62195,0.65556,0.43337,0,124,"[[40, 0], [124, 56]]"
test,average_fusion,0.89,0.41818,0.61905,0.64444,0.41645,0,128,"[[40, 0], [128, 52]]"
test,average_fusion,0.9,0.38636,0.61429,0.625,0.38605,0,135,"[[40, 0], [135, 45]]"
test,average_fusion,0.91,0.35909,0.6105,0.60833,0.35908,0,141,"[[40, 0], [141, 39]]"
test,average_fusion,0.92,0.31364,0.60471,0.58056,0.31192,0,151,"[[40, 0], [151, 29]]"
test,average_fusion,0.93,0.30909,0.60417,0.57778,0.30703,0,152,"[[40, 0], [152, 28]]"
test,average_fusion,0.94,0.27273,0.6,0.55556,0.26667,0,160,"[[40, 0], [160, 20]]"
test,average_fusion,0.95,0.23636,0.59615,0.53333,0.22379,0,168,"[[40, 0], [168, 12]]"
test,average_fusion,0.96,0.21818,0.59434,0.52222,0.20128,0,172,"[[40, 0], [172, 8]]"
test,average_fusion,0.97,0.2,0.59259,0.51111,0.17799,0,176,"[[40, 0], [176, 4]]"
test,average_fusion,0.98,0.19091,0.59174,0.50556,0.16603,0,178,"[[40, 0], [178, 2]]"
test,average_fusion,0.99,0.18182,0.09091,0.5,0.15385,0,180,"[[40, 0], [180, 0]]"
validation,adaptive_fusion,0.01,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.02,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.03,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.04,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.05,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.06,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.07,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.08,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.09,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.1,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.11,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.12,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.13,0.84889,0.42444,0.5,0.45913,34,0,"[[0, 34], [0, 191]]"
validation,adaptive_fusion,0.14,0.85333,0.92634,0.51471,0.48881,33,0,"[[1, 33], [0, 191]]"
validation,adaptive_fusion,0.15,0.85778,0.92825,0.52941,0.51691,32,0,"[[2, 32], [0, 191]]"
validation,adaptive_fusion,0.16,0.86222,0.93018,0.54412,0.54355,31,0,"[[3, 31], [0, 191]]"
validation,adaptive_fusion,0.17,0.86222,0.93018,0.54412,0.54355,31,0,"[[3, 31], [0, 191]]"
validation,adaptive_fusion,0.18,0.86667,0.93213,0.55882,0.56886,30,0,"[[4, 30], [0, 191]]"
validation,adaptive_fusion,0.19,0.87111,0.82639,0.59771,0.62716,27,2,"[[7, 27], [2, 189]]"
validation,adaptive_fusion,0.2,0.87556,0.83953,0.61241,0.64734,26,2,"[[8, 26], [2, 189]]"
validation,adaptive_fusion,0.21,0.88444,0.86033,0.64182,0.68521,24,2,"[[10, 24], [2, 189]]"
validation,adaptive_fusion,0.22,0.88889,0.86883,0.65653,0.70303,23,2,"[[11, 23], [2, 189]]"
validation,adaptive_fusion,0.23,0.88889,0.84762,0.66862,0.71373,22,3,"[[12, 22], [3, 188]]"
validation,adaptive_fusion,0.24,0.89778,0.86369,0.69803,0.74569,20,3,"[[14, 20], [3, 188]]"
validation,adaptive_fusion,0.25,0.89333,0.84058,0.69541,0.73908,20,4,"[[14, 20], [4, 187]]"
validation,adaptive_fusion,0.26,0.89333,0.84058,0.69541,0.73908,20,4,"[[14, 20], [4, 187]]"
validation,adaptive_fusion,0.27,0.88889,0.81988,0.69279,0.73266,20,5,"[[14, 20], [5, 186]]"
validation,adaptive_fusion,0.28,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.29,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.3,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.31,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.32,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.33,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.34,0.89333,0.82866,0.7075,0.74747,19,5,"[[15, 19], [5, 186]]"
validation,adaptive_fusion,0.35,0.88889,0.81057,0.70488,0.74108,19,6,"[[15, 19], [6, 185]]"
validation,adaptive_fusion,0.36,0.88444,0.79411,0.70226,0.73486,19,7,"[[15, 19], [7, 184]]"
validation,adaptive_fusion,0.37,0.88444,0.79411,0.70226,0.73486,19,7,"[[15, 19], [7, 184]]"
validation,adaptive_fusion,0.38,0.88444,0.79411,0.70226,0.73486,19,7,"[[15, 19], [7, 184]]"
validation,adaptive_fusion,0.39,0.87556,0.76524,0.69703,0.72291,19,9,"[[15, 19], [9, 182]]"
validation,adaptive_fusion,0.4,0.87111,0.75084,0.7065,0.72502,18,11,"[[16, 18], [11, 180]]"
validation,adaptive_fusion,0.41,0.88,0.76953,0.73591,0.75083,16,11,"[[18, 16], [11, 180]]"
validation,adaptive_fusion,0.42,0.87556,0.75897,0.73329,0.74498,16,12,"[[18, 16], [12, 179]]"
validation,adaptive_fusion,0.43,0.88,0.76779,0.748,0.75724,15,12,"[[19, 15], [12, 179]]"
validation,adaptive_fusion,0.44,0.88,0.76779,0.748,0.75724,15,12,"[[19, 15], [12, 179]]"
validation,adaptive_fusion,0.45,0.87556,0.75801,0.74538,0.75142,15,13,"[[19, 15], [13, 178]]"
validation,adaptive_fusion,0.46,0.87111,0.74882,0.74276,0.74572,15,14,"[[19, 15], [14, 177]]"
validation,adaptive_fusion,0.47,0.87111,0.74887,0.75485,0.7518,14,15,"[[20, 14], [15, 176]]"
validation,adaptive_fusion,0.48,0.87111,0.74887,0.75485,0.7518,14,15,"[[20, 14], [15, 176]]"
validation,adaptive_fusion,0.49,0.86222,0.73304,0.74962,0.74079,14,17,"[[20, 14], [17, 174]]"
validation,adaptive_fusion,0.5,0.86667,0.74156,0.76432,0.75198,13,17,"[[21, 13], [17, 174]]"
validation,adaptive_fusion,0.51,0.87111,0.74979,0.77903,0.76291,12,17,"[[22, 12], [17, 174]]"
validation,adaptive_fusion,0.52,0.87111,0.74979,0.77903,0.76291,12,17,"[[22, 12], [17, 174]]"
validation,adaptive_fusion,0.53,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,adaptive_fusion,0.54,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,adaptive_fusion,0.55,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,adaptive_fusion,0.56,0.86222,0.73568,0.77379,0.752,12,19,"[[22, 12], [19, 172]]"
validation,adaptive_fusion,0.57,0.85778,0.72912,0.77117,0.74669,12,20,"[[22, 12], [20, 171]]"
validation,adaptive_fusion,0.58,0.84444,0.71111,0.76332,0.73131,12,23,"[[22, 12], [23, 168]]"
validation,adaptive_fusion,0.59,0.84,0.70851,0.77279,0.73157,11,25,"[[23, 11], [25, 166]]"
validation,adaptive_fusion,0.6,0.84,0.70851,0.77279,0.73157,11,25,"[[23, 11], [25, 166]]"
